id,codigo,nome,dt_inicio,dt_fim,aplicacao
sit_ger_200020300,200020300,"Aprisionamento em, sob ou entre um objeto parado e outro em movimento",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto. Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre."
sit_ger_200020500,200020500,"Aprisionamento em, sob ou entre dois ou mais objetos em movimento (sem encaixe)",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto. Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre."
sit_ger_200020700,200020700,"Aprisionamento em, sob ou entre desabamento ou desmoronamento de edificação, barreira, etc.",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto. Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre."
sit_ger_200020900,200020900,"Aprisionamento em, sob ou entre, NIC",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto. Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre."
sit_ger_200024300,200024300,"Atrito ou abrasão por encostar, pisar, ajoelhar ou sentar em objeto (não em vibração)",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão."
sit_ger_200024400,200024400,Atrito ou abrasão por manusear objeto (não em vibração),2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão."
sit_ger_200024500,200024500,Atrito ou abrasão por objeto em vibração,2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão."
sit_ger_200024600,200024600,Atrito ou abrasão por corpo estranho no olho,2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão."
sit_ger_200024700,200024700,Atrito ou abrasão por compressão repetitiva,2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão."
sit_ger_200024900,200024900,"Atrito ou abrasão, NIC",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão."
sit_ger_200028300,200028300,"Reação do corpo a seus movimentos - movimento involuntário (escorregão sem queda, etc.)",2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi causada exclusivamente por movimento livre do corpo humano que causou tensão ou torção em alguma parte do corpo. Geralmente aplica-se à ocorrência de torções, distensões, rupturas ou outras lesões internas, resultantes da adoção de uma posição forçada ou de movimentos involuntários provocados por sustos ou esforços de recuperação da posição normal em casos de escorregão ou perda de equilíbrio. Inclui casos de lesão muscular ou interna resultantes de movimentos individuais como andar, subir, correr, tentar alcançar algo, voltar-se, curvar-se, etc., quando tais movimentos forem a própria fonte da lesão. Não se aplica a esforço excessivo ao erguer, puxar ou empurrar objetos ou a casos em que o movimento do corpo, voluntário ou involuntário, tenha tido por resultado contato violento com algum objeto."
sit_ger_200028600,200028600,Reação do corpo a seus movimentos - movimento voluntário,2014-01-01,,"Aplica-se a casos, sem impacto, em que a lesão foi causada exclusivamente por movimento livre do corpo humano que causou tensão ou torção em alguma parte do corpo. Geralmente aplica-se à ocorrência de torções, distensões, rupturas ou outras lesões internas, resultantes da adoção de uma posição forçada ou de movimentos involuntários provocados por sustos ou esforços de recuperação da posição normal em casos de escorregão ou perda de equilíbrio. Inclui casos de lesão muscular ou interna resultantes de movimentos individuais como andar, subir, correr, tentar alcançar algo, voltar-se, curvar-se, etc., quando tais movimentos forem a própria fonte da lesão. Não se aplica a esforço excessivo ao erguer, puxar ou empurrar objetos ou a casos em que o movimento do corpo, voluntário ou involuntário, tenha tido por resultado contato violento com algum objeto."
sit_ger_200032200,200032200,Esforço excessivo ao erguer objeto,2014-01-01,,Ver explicações do código 200028600.
sit_ger_200032400,200032400,Esforço excessivo ao empurrar ou puxar objeto,2014-01-01,,Ver explicações do código 200028600.
sit_ger_200032600,200032600,"Esforço excessivo ao manejar, sacudir ou arremessar objeto",2014-01-01,,Ver explicações do código 200028600.
sit_ger_200032900,200032900,"Esforço excessivo, NIC",2014-01-01,,Ver explicações do código 200028600.
sit_ger_200036000,200036000,Exposição à energia elétrica,2014-01-01,,"Aplica-se somente a casos sem impacto, em que a lesão consiste em choque elétrico, queimadura ou eletroplessão (eletrocussão)."
sit_ger_200040300,200040300,Contato com objeto ou substância a temperatura muito alta,2014-01-01,,"Aplica-se somente a casos, sem impacto, em que a lesão consiste em queimadura, geladura, etc., resultante queimadura, geladura, etc., resultante de contato com objetos, ar, gases, vapores ou líquidos quentes ou frios. Não se aplica a casos em que a lesão foi provocada pelas características tóxicas ou cáusticas de produtos químicos ou a queimadura por descarga elétrica."
sit_ger_200040600,200040600,Contato com objeto ou substância a temperatura muito baixa,2014-01-01,,"Aplica-se somente a casos, sem impacto, em que a lesão consiste em queimadura, geladura, etc., resultante queimadura, geladura, etc., resultante de contato com objetos, ar, gases, vapores ou líquidos quentes ou frios. Não se aplica a casos em que a lesão foi provocada pelas características tóxicas ou cáusticas de produtos químicos ou a queimadura por descarga elétrica."
sit_ger_200044300,200044300,Exposição à temperatura ambiente elevada,2014-01-01,,Não se aplica aos casos de lesão proveniente de exposição à radiação solar ou outras radiações. Também não se aplica a casos de queimadura ou geladura provocada por contato com objeto ou substância a temperaturas extremas ou queimadura devida à energia elétrica.
sit_ger_200044600,200044600,Exposição à temperatura ambiente baixa,2014-01-01,,Não se aplica aos casos de lesão proveniente de exposição à radiação solar ou outras radiações. Também não se aplica a casos de queimadura ou geladura provocada por contato com objeto ou substância a temperaturas extremas ou queimadura devida à energia elétrica.
sit_ger_200048200,200048200,"Inalação de substância cáustica, tóxica ou nociva",2014-01-01,,"Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos."
sit_ger_200048400,200048400,"Ingestão de substancia cáustica, tóxica ou nociva",2014-01-01,,"Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos."
sit_ger_200048600,200048600,"Absorção (por contato) de substância cáustica, tóxica ou nociva",2014-01-01,,"Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos."
sit_ger_200048900,200048900,"Inalação, ingestão e absorção, NIC",2014-01-01,,"Aplica-se somente a casos, sem impacto, em que a lesão foi provocada por inalação, absorção ou ingestão de substâncias nocivas. Geralmente refere-se a intoxicações, envenenamentos, queimaduras, irritações ou reações alérgicas por produtos químicos."
sit_ger_200052000,200052000,Imersão,2014-01-01,,Aplica-se aos acidentes que têm por consequência o afogamento.
sit_ger_200056000,200056000,Exposição à radiação não ionizante,2014-01-01,,"Aplica-se a casos em que as lesões são provocadas por exposição à radiação solar ou outras radiações não ionizantes (por exemplo, ultravioleta e infravermelho)."
sit_ger_200060000,200060000,Exposição à radiação ionizante,2014-01-01,,
sit_ger_200064000,200064000,Exposição ao ruído,2014-01-01,,
sit_ger_200068000,200068000,Exposição à vibração,2014-01-01,,
sit_ger_200072000,200072000,Exposição à pressão ambiente,2014-01-01,,
sit_ger_200072300,200072300,Exposição à pressão ambiente elevada,2014-01-01,,
sit_ger_200072600,200072600,Exposição à pressão ambiente baixa,2014-01-01,,
sit_ger_200076200,200076200,Exposição à poluição da água,2014-01-01,,
sit_ger_200076400,200076400,Exposição à poluição do ar,2014-01-01,,
sit_ger_200076600,200076600,Exposição à poluição do solo,2014-01-01,,
sit_ger_200076900,200076900,"Exposição à poluição, NIC",2014-01-01,,
sit_ger_200080200,200080200,"Ataque de ser vivo por mordedura, picada, chifrada, coice, etc.",2014-01-01,,
sit_ger_200080400,200080400,Ataque de ser vivo com peçonha,2014-01-01,,
sit_ger_200080600,200080600,Ataque de ser vivo com transmissão de doença,2014-01-01,,
sit_ger_200080900,200080900,"Ataque de ser vivo (inclusive do homem), NIC",2014-01-01,,
sit_ger_200080901,200080901,Contato com pessoas doentes ou material infectocontagiante - agentes biológicos,2014-01-01,,
sit_ger_209000000,209000000,"Tipo, NIC",2014-01-01,,
sit_ger_209500000,209500000,Tipo inexistente,2014-01-01,,
